yyyymm,g_t,y_true,y_hat
200001,"[ 9.81712873e-06 -7.50596884e-06 -2.16273678e-06  5.69308653e-05
  2.21786537e-05]",-1.4442794675231465,0.1406108831645963
200002,"[ 1.37464452e-03  1.89325589e-05 -1.12704968e-05 -1.68708212e-05
  2.16627213e-05]",2.115941642704856,0.436463484161975
200003,"[ 1.32010366e-03 -6.78254035e-04 -3.81361175e-05 -1.66554995e-05
 -4.22975195e-05]",1.3843133809880093,0.5255066334462835
200004,"[-1.25688404e-03  3.44383436e-04 -6.53898521e-04 -6.81694439e-06
 -2.11741556e-06]",1.1954849651691806,-0.16307260406382315
200005,"[-9.26640282e-04 -6.07869205e-04 -3.59834763e-04  6.60345015e-04
 -2.65610717e-06]",0.8110956798475816,-0.006500261228894051
200006,[-0.00092958  0.00055721 -0.00051605 -0.00040417 -0.00058805],0.0750190358260947,-0.03280395953203486
200007,"[-7.29057823e-04  6.35549009e-04 -3.69116993e-05 -5.27830074e-04
 -3.67282557e-04]",2.4635290644546526,-0.026588744122019534
200008,"[ 7.74505713e-04 -9.47613340e-05  5.99695286e-04  1.35547196e-05
  5.69477337e-04]",0.5404030548853,0.24644767688184435
200009,"[ 6.22871356e-04  2.75714634e-04 -2.32878504e-05  5.88998166e-04
  9.90315656e-05]",1.2602271157942655,0.1972703273851753
200010,"[4.65451508e-04 1.28752724e-04 2.44605132e-04 2.46357596e-05
 4.58025322e-04]",0.6826670729338339,0.16801462193034608
200011,"[ 1.60527417e-04 -3.24594370e-04 -3.30507513e-05  3.02827499e-04
 -4.17003065e-05]",5.97581459184217,0.20976461959684473
200012,"[ 1.42034764e-04 -3.13295940e-04  3.01509552e-04  5.55324516e-05
 -3.16486916e-04]",-6.561205066474285,0.24441255534046866
200101,"[-3.45066252e-04 -6.09053887e-06  7.80228977e-04  3.57032199e-04
 -1.12194329e-04]",-0.866717875387883,0.04977176335757957
200102,"[-2.80191953e-04 -4.68300033e-04 -8.49362956e-05 -6.20925378e-04
  2.58242748e-04]",0.38348644545177807,0.15090341207070987
200103,[ 0.00011849  0.00039787  0.00054273  0.00020747 -0.00042081],1.3316122578106937,0.14420728967346297
200104,[-0.00010313  0.00033408 -0.00026521  0.0005766   0.00015032],-1.1641946971180754,0.031239237347375326
200105,[ 0.0001511   0.00015156 -0.00036156  0.00017932 -0.00060467],0.9002261052661947,0.22193334031035608
200106,"[-1.20231892e-04 -1.58582187e-04 -8.53494200e-05 -3.25081972e-04
 -1.14758315e-04]",-0.7271813623396,0.1711289530843343
200107,"[ 3.69072537e-04 -2.84469695e-04  3.86520096e-06 -1.45055534e-04
 -3.71274513e-04]",-0.31583579052302413,0.3120574775466862
200108,"[-4.71652659e-04  1.32925815e-04  1.83538206e-04 -4.68410784e-05
  1.77839394e-04]",-1.4587329658959058,0.002398632109828299
200109,"[-1.11394793e-04 -4.94311268e-04  2.82024844e-04  7.93178408e-05
  7.29829781e-05]",0.17981488128980289,0.1674912792158419
200110,[-0.00012506  0.00023778 -0.0004785  -0.00026229 -0.00010313],1.3812338312626804,0.11887090354407619
200111,[ 0.00010496  0.00026898 -0.00010821  0.00053392  0.0002213 ],0.9924219471604928,0.07644101040222255
200112,"[-1.01155709e-04  3.21272316e-04 -3.36614623e-04 -3.75872052e-05
 -4.71211032e-04]",-3.107315487566525,0.14088040419846634
200201,"[ 1.99308616e-05  2.59821277e-04  1.92881093e-04 -3.20560055e-04
 -6.85212275e-05]",0.6467384433492779,0.13542891755086978
200202,"[ 8.36179809e-05  1.29648123e-04 -1.07768290e-04 -1.83934669e-04
 -3.35698369e-04]",0.6666206102177048,0.19498196109179694
200203,"[-6.40046911e-05 -2.22422762e-05 -6.57200035e-05  4.03204224e-05
  2.41112200e-04]",-0.44337230669139815,0.1031371873694611
200204,"[ 5.01568101e-04 -1.57414418e-04  1.34705571e-04  1.07382735e-04
 -1.19262311e-05]",-1.0083540331780219,0.2658258879052671
200205,"[ 5.92287500e-04 -1.92074204e-04  1.08113155e-04 -2.31055014e-05
 -2.56356390e-05]",1.4355588917424558,0.2993345704669434
200206,"[ 2.62581243e-04 -5.68157618e-04 -3.02085569e-04  7.53277085e-05
  9.08083695e-06]",-1.03727437246561,0.27546298370119326
200207,"[-8.71722880e-05 -3.27942901e-04 -5.35440442e-04  3.61766647e-04
  1.61200796e-05]",0.13149010111897705,0.1549436349527022
200208,"[-5.77332372e-05  1.36775662e-04  3.01243273e-04  5.86128113e-04
  4.27655746e-04]",0.25349981907275,0.025268425161478703
200209,"[-2.73499431e-04 -9.27520611e-05 -1.14556629e-05 -2.80066892e-04
  5.40823935e-04]",0.7027728457335696,0.04929775264318108
200210,"[ 6.17568367e-04  5.81967015e-05 -4.70598869e-04 -2.81399477e-05
  4.28823198e-04]",-1.8704761921380684,0.22841597865000648
200211,"[-4.66156491e-04 -5.13124108e-05  7.58111663e-05  4.44802017e-04
  1.15591637e-04]",0.37551629594145447,0.009879533022376749
200212,"[-4.97563239e-04  1.51557350e-04  5.82323248e-05  1.41160347e-04
  3.99341935e-04]",-2.3607895027596495,-0.03980341010549088
200301,"[-3.44448644e-04  2.87701883e-04 -2.53145497e-04 -4.10153395e-05
 -1.44640680e-04]",-0.14892515554136124,0.053614229210141764
200302,"[ 4.60289395e-04  4.54859691e-05 -3.69946479e-04 -2.63973771e-04
 -1.00518073e-04]",0.19174979486791283,0.26906553219151136
200303,"[ 2.95579464e-04  2.36242850e-04  9.89433743e-05 -3.35206196e-04
  2.47023304e-04]",0.28809120205192185,0.16385091223026368
200304,"[ 1.71877640e-04  3.24647854e-05  2.13574295e-04 -1.37182094e-04
 -2.98091563e-04]",-2.0693593468760567,0.21476321113347216
200305,"[-1.17292098e-04 -3.73632311e-04  6.63567495e-05 -1.16698027e-04
 -2.55801225e-04]",-2.105220648393594,0.20277125060715806
200306,"[-1.47711269e-04  2.78437082e-06 -4.99252416e-04  3.22457295e-05
  8.15096258e-05]",-1.5660160660363789,0.10784410573127882
200307,"[ 2.55636642e-04  8.68792870e-05 -8.94790498e-05  5.89767035e-04
  3.65319060e-05]",-0.362576905940389,0.15136862300051543
200308,"[-2.13736826e-05  3.01550694e-04  2.63400842e-05  9.79518458e-05
 -5.76858380e-04]",-6.0732724143713614,0.15953730359439097
200309,"[-4.25203048e-04  3.97803467e-04 -5.65322518e-05 -4.25202791e-05
  9.99002477e-05]",0.014422933865457788,-0.010106192628611333
200310,"[ 2.38305386e-05  5.19821881e-04  2.98167102e-04 -3.57628457e-05
  4.16469280e-05]",-0.7282474625879405,0.07125534397268136
200311,"[ 9.50233763e-05  9.42022441e-05  4.69277518e-04  3.20908174e-04
 -3.99820232e-05]",-0.19255244008491296,0.13027787274470012
200312,"[-2.75018328e-04  9.04484792e-05  1.88668635e-04 -4.21768879e-04
  3.77006444e-04]",-4.658675083366065,0.04814824750033076
200401,[-0.00019237 -0.00030993  0.00031608  0.00012529  0.00041254],1.1434013704430463,0.08281744680210014
200402,"[-2.73570068e-04  1.83613400e-05  2.52313888e-04  2.86056536e-04
  1.40564002e-04]",-0.5778576362144938,0.04522507780428417
200403,[ 0.00032404 -0.00034967 -0.00020137 -0.0002383  -0.00026369],-1.1055386444277033,0.3070660950123159
200404,[ 0.00017764  0.00032391  0.00024636 -0.00022859 -0.00025909],2.3150907389792765,0.17714383988404223
200405,"[ 3.07212811e-05 -1.33437150e-04 -3.07461745e-04 -3.04589749e-04
 -2.71143528e-04]",1.6941949441938602,0.22111064062454458
200406,"[8.67092788e-05 2.69670904e-05 1.01872936e-04 3.00223259e-04
 3.08639286e-04]",0.6907122140112361,0.10412500279303596
200407,"[ 3.60793793e-04  5.20221037e-05 -2.04888565e-05 -7.63366890e-05
  2.60284970e-04]",0.9312872635508342,0.18857505594955606
200408,"[ 8.61048956e-05 -4.01214407e-04 -3.16881882e-05  5.41256854e-05
 -1.13710292e-04]",0.5746794258412182,0.2260421106469245
200409,"[ 2.94344230e-04  1.50884192e-04 -5.31752482e-04  6.08442434e-07
 -4.28204250e-05]",1.0468776710425765,0.20040894598432082
200410,"[-2.69951834e-05  3.03788869e-04  1.86145362e-05  5.25678219e-04
 -3.13218977e-05]",-1.222639680876327,0.07100251902684108
200411,"[-5.22111809e-05 -1.67298745e-04  2.39084543e-04  4.31560406e-05
 -5.18071687e-04]",-4.902378523481916,0.20809466836572707
200412,"[2.28968682e-04 7.62358494e-05 1.30988444e-04 2.13298048e-04
 3.28162990e-05]",0.15010213478690138,0.16471580915994774
200501,"[-8.96464604e-05  2.01333018e-04 -1.39216046e-04  9.14857494e-05
  2.29666282e-04]",1.7471227426527187,0.06748133039428078
200502,"[1.91039920e-04 3.97960205e-05 1.99668732e-04 1.05351631e-04
 1.03582643e-04]",1.198654476655956,0.15800892459149246
200503,"[-1.14499357e-04  2.19609262e-04 -5.16313965e-05  1.48572427e-04
 -8.98183645e-05]",1.5822389432862862,0.0921950328409484
200504,"[-5.71344895e-04  5.04537468e-05 -1.09422116e-04 -1.98227725e-05
 -1.37396156e-04]",1.8244060505827049,0.03181093693490597
200505,"[-2.78381198e-04  4.61932321e-04 -5.01121729e-05  1.47298656e-04
  2.70192248e-05]",0.02355692897172007,0.010915573224861995
200506,"[ 1.09324691e-04  2.28499973e-04  4.13919297e-04 -2.83921048e-05
 -1.02217409e-04]",-0.14950002355762576,0.1429927188049912
200507,"[-2.76344753e-04 -2.43577233e-05  1.25048962e-04 -3.77888876e-04
 -1.02231795e-04]",0.14978713572090707,0.11748755177444856
200508,"[-5.32817558e-04 -1.52702706e-04 -1.77941530e-04 -9.10377425e-05
 -2.58596554e-04]",0.02355651228455758,0.08640008622429039
200509,"[-4.27184680e-04 -3.45468165e-04  2.20522056e-04 -2.14812938e-04
  6.18987259e-05]",0.9126513991686951,0.09799548850319045
200510,[ 0.00076325  0.00023855  0.0003106   0.00019446 -0.00010387],1.8890163004451352,0.27255536525480756
200511,[ 0.00061222 -0.00046219  0.0002898   0.00028013 -0.00022689],-0.4021350125628793,0.3432357759795869
200512,[ 0.00023732 -0.00050298  0.00043814 -0.00026388  0.00025124],-0.8894351801424153,0.2397944055254271
200601,"[-5.09734554e-04 -7.57169457e-05  4.13622843e-04 -4.73566140e-04
 -9.25000661e-05]",-1.5707453993202893,0.07330287339337185
200602,"[-7.26730734e-04  8.02188158e-05  1.41306961e-04 -3.59852747e-04
  3.05960974e-04]",-1.7284583203018056,-0.04254483514118749
200603,[ 0.00061746 -0.00042843  0.00025992 -0.00012523  0.00034503],0.2626545195621931,0.29637832637940514
200604,[ 0.00039446 -0.00041606 -0.00051393 -0.00027206  0.00015116],0.5881143871484008,0.28994957079750733
200605,[ 0.0003568   0.0002292  -0.00048955  0.00050471  0.00030024],2.1353055348150134,0.13492137356116446
200606,"[-2.66963773e-05  3.74863095e-04 -2.65395067e-04  4.69562807e-04
  4.64441135e-04]",0.7205243758204147,0.01175779641468945
200607,[-0.00056467  0.00018452 -0.00023573  0.00027293  0.00034977],1.6832591966134678,-0.05541695437804647
200608,"[-2.36293207e-05  5.70341248e-04  3.29006969e-04 -2.39834579e-04
  2.97848630e-04]",0.6452026557401044,0.03529611977534926
200609,"[-2.85585577e-04  6.44118774e-05  4.04620159e-04 -3.31361535e-04
  2.15938332e-04]",0.4987949338635247,0.059482208003666937
200610,"[-2.42598005e-04  2.76204329e-04  4.55520483e-05 -3.84092322e-04
 -3.71265575e-04]",1.4472448136526488,0.11762844628786612
200611,"[-1.29844896e-04 -1.62497605e-04  2.92498177e-04 -5.71919837e-05
 -3.60672239e-04]",-0.9919494495244424,0.1770642602293774
200612,"[-4.56536866e-05  1.79509912e-04  1.18592128e-04 -2.15846186e-04
  2.21986722e-05]",-0.8706972602589149,0.1168268054851352
200701,"[ 9.50501777e-05  4.47819525e-05 -2.37104189e-04  6.53217459e-05
 -2.34829865e-04]",-0.8233168826884374,0.18534337112236693
200702,"[-3.32938183e-04  3.65689333e-04 -1.30857977e-04  2.39630207e-04
 -2.40278107e-05]",1.8937712837229426,0.01409381686317115
200703,"[ 5.56437828e-04  2.88662280e-04  1.82515816e-04 -6.24081626e-05
  2.23671115e-04]",0.8083927289213857,0.19945537033729643
200704,"[ 1.94192535e-05  6.09079257e-04 -1.76278368e-04  2.08372825e-04
 -1.00907500e-04]",3.298899521359046,0.06923564277463283
200705,[ 0.00020507 -0.00028157 -0.00051293  0.0002155  -0.00025587],-1.1284254183138547,0.25130470279400596
200706,"[ 6.37781977e-05  1.51810015e-04  3.61155894e-04 -4.99764769e-04
  1.89422251e-04]",-0.85335027266131,0.13650349820554203
200707,"[-6.40763155e-05  1.02419959e-04  1.19041750e-04 -4.02713655e-04
  5.32325889e-04]",4.057094486287747,0.0741930346867161
200708,"[-1.10545741e-05 -1.27257849e-04 -1.06840451e-04  1.81534079e-04
 -3.73653711e-04]",1.2280630427902357,0.19288579244643972
200709,"[ 2.18265714e-04  3.63737026e-05  2.04979018e-04  1.13631012e-04
 -1.62444286e-04]",5.911352874433905,0.19472590523411068
200710,"[-4.30636487e-04  2.47145956e-04 -1.64384044e-04 -1.07008793e-04
  7.20187748e-05]",3.7746487699825613,0.017405811208736178
200711,"[ 6.10219023e-04  2.22775514e-05  2.14693359e-04 -1.56913080e-04
  2.54239363e-04]",2.1909316264585037,0.24776682524168453
200712,"[-1.16702830e-04  5.85581170e-04 -6.69620236e-06  2.59371068e-04
  1.78203725e-04]",-2.8112368572195616,0.0048735667487343065
200801,"[-4.79743586e-04  1.02106390e-04 -5.39436292e-04  3.38336751e-05
  2.23001688e-04]",-1.260761504266153,0.006942598913582304
200802,"[-8.67631069e-04  2.46541986e-05 -3.68570445e-05  4.02307915e-04
 -9.03102324e-05]",1.7846957648865627,-0.05890111358149953
200803,"[-7.24511106e-04 -4.60678583e-04  7.58610308e-05  3.80295834e-05
  3.83478510e-04]",3.9321251081882904,4.96858285179397e-05
200804,"[-3.84514596e-04 -4.96247306e-04  6.09748807e-04 -9.40341527e-05
 -1.01871152e-04]",1.3268729886872597,0.13324758320514504
200805,"[ 1.56903447e-04  5.38476212e-04 -3.87406821e-04  6.69596125e-04
 -5.13730532e-05]",-0.08487926928957812,0.08049754382512189
200806,[-0.00078972  0.00028226  0.00011954 -0.00027103 -0.00060148],1.7796461659203415,0.01779941786376271
200807,[-0.00041182  0.00067596  0.00025704  0.00019939  0.00014151],1.8643700991988703,-0.06773363251562069
200808,"[ 8.41010268e-04 -3.84615035e-04 -7.15858290e-04  3.75787256e-04
  4.59802449e-05]",1.6579453132246758,0.3618948896403227
200809,[ 0.00032499  0.00063865  0.00040587  0.00063993 -0.0002906 ],-1.1853885396816335,0.11986296773561314
200810,[ 0.00046494 -0.00015683 -0.00060231  0.00038592 -0.00054792],3.5188237125012733,0.31681226794550515
200811,"[-7.03806893e-04  2.09182192e-04  8.56058835e-05  5.41596483e-04
  3.32977755e-04]",5.184033598404428,-0.10703784038497409
200812,"[-1.24595170e-04 -5.64545963e-04  6.67364314e-05 -2.30658215e-05
 -3.93984982e-04]",-9.301851114991804,0.23750963100408337
200901,"[-3.95852388e-04  2.39418231e-04 -4.81092137e-04  5.93591184e-05
 -5.61376061e-05]",0.08416846300076641,0.0368369173873614
200902,[-0.00091641  0.00013149  0.00016997 -0.00032814 -0.0002135 ],-0.41007527404043975,-0.03224269079377472
200903,[-0.00081746  0.00023117 -0.0001819   0.00020324 -0.000355  ],-1.2699451739619136,-0.03138946220387352
200904,[ 0.00059824  0.00025122 -0.00047399 -0.00015968  0.00040055],-2.411384618021802,0.20914110051080473
200905,[ 0.0003291  -0.00037792  0.000272    0.00049262  0.00025428],-2.020068733523403,0.2033593346142031
200906,[-0.00044672 -0.00034378 -0.00024439  0.00025929 -0.00039052],2.8040694356389335,0.12747957219466707
200907,[-0.00074662 -0.0002677   0.00018007 -0.00014752 -0.00031194],-2.546618501055222,0.05894795122210654
200908,"[-5.16318931e-04  4.30555701e-04  2.82465873e-04 -1.70105449e-04
  4.96831066e-05]",-0.8216861449806749,-0.026839582911630116
200909,[-0.00052873 -0.00039103 -0.0001559  -0.00032848  0.00019547],0.6173045192529777,0.07910160205149307
200910,[-0.00035808 -0.00044206 -0.00043844  0.00012698  0.00032506],3.5808090715872103,0.08711322224761664
200911,"[-4.74502749e-04  9.76607565e-05  4.85389884e-04  4.19131843e-04
 -3.51224188e-05]",1.7227897892441766,0.00040499199191812365
200912,"[-1.30618345e-04  4.38065097e-04 -9.93957957e-05 -5.13580533e-04
 -4.00662611e-04]",-6.240473709911417,0.1332452633012338
201001,"[ 9.81529930e-04  3.38468760e-04 -4.90697474e-05  3.02118606e-05
  3.85421140e-04]",1.4294543992154876,0.26459146744940776
